AAL,American Airlines
ACA,Air Canada
AFR,Air France
AIC,Air India
AMX,Aeromexico
ANN,Atmospherica Aviation
AUR,Aurigny
BAW,British Airways
BEE,Flybe
BMR,bmi regional
BOX,AeroLogic
BTI,Air Baltic
CFG,Condor Flugdienst
CLX,Cargolux
DAL,Delta Air Lines
DHK,DHL Air
DLH,Lufthansa
EAG,Emerald Airlines
EAI,Emerald Airlines
ECA,Euro Cargo Aviation
EIN,Aer Lingus
EJU,easyJet
EMC,247 Aviation
ETH,Ethiopian Airlines
EXS,Jet2
EZE,Eastern Airways
EZS,Easyjet Switzerland
EZY,easyJet
FDX,FedEx Express
FPO,ASL Airlines France
GTI,Atlas Air
HGO,One Air
HM,Air Seychelles
IBE,Iberia Airlines
ICE,Icelandair
ITY,ITA Airways
JBU,JetBlue
KLC,KLM Cityhopper
KLM,KLM
LDG,Leading Edge Aviation
LDX,SPARFELL Luftfahrt
LOG,Loganair
LXJ,Flexjet
NJE,National Jet Express
NOZ,Norwegian Air Shuttle
NPT,Atlantic Airlines
NSZ,Norwegian Air Sweden
OCN,O Air
PGC,European Aircraft Private Club
PGT,Pegasus Airlines
PIA,Pakistan Int Airlines
PYN,Fly Wales
QTR,Qatar Airways
RAM,Royal Air Maroc
RRR,RAF Air Transport
RUK,Ryanair UK
RYR,Ryanair
SAH,Smart Jet
SAS,SAS
SFY,Skyborne Academy
SHT,British Airways
SIA,Singapore Airlines
SRD,Sundair
SRR,Maersk Air Cargo
SWR,Swiss International
SXS,SunExpress
TAP,TAP Portugal
THY,Turkish Airlines
TOM,TUI
TOW,Tower Air
TSC,Air Transat
TUI,TUI
TVF,Transavia France
UAE,Emirates
UAL,United Airlines
UPS,UPS Airlines
VIR,Virgin Atlantic
VJH,VistaJet
VJT,VistaJet
VLG,Vueling Airlines
VOE,Volotea
WMT,Wizz Air Malta
WZZ,Wizz Air

BEL,Brussels Airlines
WJA,WestJetHN,Air Seychelles

CND,Aero Continente Dominicana
SLM,Surinam Airways
